86.18.38.127 - - [24/Jan/2013:14:55:36 -0700] "GET www.porshhair.com/images/image2.jpg HTTP/1.1" 200 37746 "http://www.porshhair.com/Prices/Prices.html" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17" 0 "-" "/var/chroot/home/content/61/10251861/html/images/image2.jpg" 48730
86.18.38.127 - - [24/Jan/2013:14:55:53 -0700] "GET www.porshhair.com/index.html HTTP/1.1" 200 2103 "http://www.porshhair.com/Prices/Prices.html" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17" 0 "default-handler" "/var/chroot/home/content/61/10251861/html/index.html" 26291
86.18.38.127 - - [24/Jan/2013:15:00:02 -0700] "GET www.porshhair.com/About/About.html HTTP/1.1" 200 1725 "http://www.porshhair.com/index.html" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17" 0 "default-handler" "/var/chroot/home/content/61/10251861/html/About/About.html" 31429
86.18.38.127 - - [24/Jan/2013:15:00:19 -0700] "GET www.porshhair.com/Services/Services.html HTTP/1.1" 200 1430 "http://www.porshhair.com/About/About.html" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17" 0 "default-handler" "/var/chroot/home/content/61/10251861/html/Services/Services.html" 24949
94.195.229.134 - - [24/Jan/2013:15:01:40 -0700] "GET www.porshhair.com/index.html HTTP/1.1" 200 2103 "http://m.facebook.com/l.php?u=http%3A%2F%2Fwww.porshhair.com%2Findex.html%23.UQGkVqS7i5g.facebook&h=6AQFwrrC5&s=1" "Mozilla/5.0 (iPhone; U; CPU iPhone OS 6_0 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.1.1;FBBV/4110.0;FBDV/iPhone4,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/6.0;FBSS/2; FBCR/O2;FBID/phone;FBLC/en_US;FBSF/2.0]" 0 "default-handler" "/var/chroot/home/content/61/10251861/html/index.html" 43738
94.195.229.134 - - [24/Jan/2013:15:01:40 -0700] "GET www.porshhair.com/CSS/style.css HTTP/1.1" 200 1151 "http://www.porshhair.com/index.html" "Mozilla/5.0 (iPhone; U; CPU iPhone OS 6_0 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.1.1;FBBV/4110.0;FBDV/iPhone4,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/6.0;FBSS/2; FBCR/O2;FBID/phone;FBLC/en_US;FBSF/2.0]" 1 "-" "/var/chroot/home/content/61/10251861/html/CSS/style.css" 34548
94.195.229.134 - - [24/Jan/2013:15:01:40 -0700] "GET www.porshhair.com/images/Top banner.jpg HTTP/1.1" 200 32695 "http://www.porshhair.com/index.html" "Mozilla/5.0 (iPhone; U; CPU iPhone OS 6_0 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.1.1;FBBV/4110.0;FBDV/iPhone4,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/6.0;FBSS/2; FBCR/O2;FBID/phone;FBLC/en_US;FBSF/2.0]" 2 "-" "/var/chroot/home/content/61/10251861/html/images/Top banner.jpg" 61073
94.195.229.134 - - [24/Jan/2013:15:01:41 -0700] "GET www.porshhair.com/images/homeimage.jpg HTTP/1.1" 200 36523 "http://www.porshhair.com/index.html" "Mozilla/5.0 (iPhone; U; CPU iPhone OS 6_0 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.1.1;FBBV/4110.0;FBDV/iPhone4,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/6.0;FBSS/2; FBCR/O2;FBID/phone;FBLC/en_US;FBSF/2.0]" 0 "-" "/var/chroot/home/content/61/10251861/html/images/homeimage.jpg" 21085
94.195.229.134 - - [24/Jan/2013:15:01:41 -0700] "GET www.porshhair.com/images/background.png HTTP/1.1" 200 744012 "http://www.porshhair.com/index.html" "Mozilla/5.0 (iPhone; U; CPU iPhone OS 6_0 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.1.1;FBBV/4110.0;FBDV/iPhone4,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/6.0;FBSS/2; FBCR/O2;FBID/phone;FBLC/en_US;FBSF/2.0]" 1 "-" "/var/chroot/home/content/61/10251861/html/images/background.png" 2841807
94.195.229.134 - - [24/Jan/2013:15:01:41 -0700] "GET www.porshhair.com/images/mainSalonWeb.jpg HTTP/1.1" 200 861123 "http://www.porshhair.com/index.html" "Mozilla/5.0 (iPhone; U; CPU iPhone OS 6_0 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.1.1;FBBV/4110.0;FBDV/iPhone4,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/6.0;FBSS/2; FBCR/O2;FBID/phone;FBLC/en_US;FBSF/2.0]" 3 "-" "/var/chroot/home/content/61/10251861/html/images/mainSalonWeb.jpg" 3146364
